,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
2812,"CityDoc Urgent Care Center 2, PLLC",Medical Practice,,,Dallas,Dallas,5301 Lovers Lane,75209,5/28/2021,11:14:52,0,170,0,0,0,170,0,214-352-7800,
2813,Healthy Horizons Clinic Pasadena,Medical Practice,,,Pasadena,Harris,7106 Spencer Hwy,77505,6/3/2021,11:28:29,0,0,0,20,0,0,20,832-940-7071,
2814,Dept of Public Health - Brazoria County / Alvin,Local Health Department,,260 George St,Alvin,Brazoria,260 George St,77511,5/28/2021,8:53:30,0,100,0,200,0,100,200,(281) 585-3024,http://www.brazoriacountytx.gov/
2815,Hillrise Home Management LLC,Other,,10662 Vista Del Sol Dr,El Paso,El Paso,10662 VISTA DEL SOL DR El Paso 79935,79935,6/1/2021,11:03:34,0,360,0,200,0,360,200,,
2816,C-Trilogy Comprehensive Clinical Care,Other,,618 N High St Suite 4,Longview,Gregg,618 N High St Suite 4,75601,7/26/2021,17:19:59,83,439,0,0,0,522,0,,
2817,Balance Family Medicine,Medical Practice,,1917 Ashland St,Houston,Harris,"1917 Ashland Street, Houston, TX, USA",77008,6/2/2021,11:47:27,0,40,0,0,0,40,0,,
2818,Walgreens Pharmacy 10258,Pharmacy,,,Mineral Wells,,201 FM 1821,76067,5/30/2021,18:01:01,390,0,0,0,0,390,0,940-325-6084,https://www.walgreens.com/locator/walgreens-201+fm+1821-mineral+wells-tx-76067/id=10258
2819,Nexcare Wellness Clinic,Community Clinic,,,Missouri City,Fort Bend,1935 Texas Parkway,77489,6/9/2021,13:13:01,12,90,0,0,0,102,0,832-519-9339,
2820,Lauro I Ortega MD PA,Medical Practice,,"154 N Festival Dr., Villa G",EL PASO,TX,"154 N Festival Dr., Villa G",79912,5/28/2021,10:35:50,0,0,0,51,0,0,51,,
2821,Dept of Public Health - South Plains / Seminole,Other,B,704 Hobbs Highway,Seminole,Gaines,704 Hobbs Highway,79360,5/26/2021,11:42:50,0,310,0,320,0,310,320,,
2822,Dept of Public Health - Williamson County / Round Rock,Local Health Department,o,355 Texas Ave,Round Rock,Williamson,355 Texas Ave,78664,5/27/2021,14:37:14,0,3487,0,0,0,3487,0,(512) 248-3257,http://www.wcchd.org/
2823,Dept of Public Health - Laredo,Vaccine Hub,T,2600 Cedar,Laredo,Webb,2600 Cedar,78040,5/28/2021,8:15:43,0,0,0,0,0,0,0,956-795-4920,https://vaccinatelaredo.timetap.com/#/
2824,Dept of Public Health - DeWitt County / Cuero,Local Health Department,,115 N Gonzales,Cuero,DeWitt,115 N Gonzales,77954,7/9/2021,11:03:56,0,300,0,0,255,555,0,(361) 275-0920,
2825,Dept of Public Health - Ector County / Odessa,Local Health Department,,221 N Texas,Odessa,Ector,221 N Texas,79761,5/28/2021,16:51:02,0,0,0,100,0,0,100,(432) 498-4141,http://www.co.ector.tx.us/
2826,Ultra Care Pharmacy,Pharmacy,,3250 W Pleasant Run Rd Ste 165,Lancaster,Dallas,3250 W Pleasant Run Rd Ste 165,75146,5/25/2021,16:06:44,0,50,0,0,0,50,0,,
2827,Dept of Public Health - Montgomery County / Conroe,Local Health Department,,1300 South Loop 336 West,Conroe,Montgomery,1300 South Loop 336 West,77304,6/2/2021,10:38:26,0,320,0,0,0,320,0,(936) 523-5020,https://www.mcphd-tx.org/
2828,Longview Drugs,Pharmacy,,,Longview,,1751 West Loop 281,75604,7/26/2021,18:04:19,0,170,0,10,125,295,10,(903) 291-1730,
2829,Dept of Public Health - City of Houston / Northside Health Center,Local Health Department,,8504 Schuller,Houston,Harris,8504 Schuller,77093,5/31/2021,21:05:25,0,160,0,800,0,160,800,(832) 395-9100,
2830,HEREFORD PHARMACY,Pharmacy,,809 S 25 Mile Ave,Hereford,Deaf Smith,809 S 25 Mile Ave,79045,5/28/2021,9:17:44,60,195,0,295,140,395,295,806-364-3400,
2831,Dept of Public Health - Burleson,Other,E,828 SW Alsbury,Burleson,Johnson,828 SW Alsbury,76028,5/30/2021,11:06:57,1116,0,0,590,260,1376,590,682-312-2780,www.burlesontx.com
2832,Dept of Public Health - Brown County / Brownwood,Local Health Department,,510 E Lee,Brownwood,Brown,510 E Lee,76801,5/26/2021,9:05:21,0,0,0,0,35,35,0,(325) 646-0554,https://www.brownwoodtexas.gov/199/Brownwood-Brown-County-Health-Department
2833,Dept of Public Health - Brazoria County / Pearland,Community Clinic,,2436 S Grand Blvd,Pearland,Brazoria,2436 S Grand Blvd,77581,5/28/2021,8:52:12,0,0,0,200,0,0,200,(281) 485-5344,http://brazoriacountytx.gov/departments/health-department/immunizations/pearland-clinic
2834,Dept of Public Health - Brazoria County / Lake Jackson,Other,,202 Peach St Suite 132,Lake Jackson,Brazoria,202 Peach St Suite 132,77566,5/28/2021,8:49:38,0,0,0,800,0,0,800,,
2835,Dept of Public Health - Brazoria County / Angelton,Local Health Department,,434 E Mulberry St,Angleton,Brazoria,434 E Mulberry St,77515,5/28/2021,8:51:10,0,0,0,1400,0,0,1400,(979) 864-1484,https://brazoriacountytx.gov/departments/health-department
2836,Dept of Public Health - Cameron County,Vaccine Hub,,1390 W Expressway 83,San Benito,Cameron,1390 W Expressway 83,78586,5/25/2021,15:26:06,0,0,0,0,0,0,0,956-247-3650,https://www.cameroncounty.us/publichealth/index.php/coronavirus/
2837,Dept of Public Health - Nolan County / Sweetwater,Local Health Department,,301 E 12th Street,Sweetwater,Nolan,301 E 12th Street,79556,6/4/2021,8:17:01,0,189,0,214,0,189,214,(325) 235-5463 ext. 1009,https://nolancountyhealth.com/
2838,Palacios Medical Clinic,Community Clinic,,307 Green Ave,Palacios,Matagorda,307 Green Ave,77465,5/28/2021,10:45:11,0,0,0,390,0,0,390,(361) 972-2000,http://www.palacioshospital.net/service/primary-care-clinic/
2839,Dept of Public Health - Grayson County / Sherman,Local Health Department,,515 N Walnut St,Sherman,Grayson,515 N Walnut St,75090,5/28/2021,12:54:30,444,0,0,90,0,444,90,(903) 893-0131,http://www.co.grayson.tx.us/
2840,Dept of Public Health -  Cherokee County / Jacksonville,Local Health Department,,803 College Ave,Jacksonville,Cherokee,803 College Ave,75766,5/27/2021,15:46:31,0,50,0,50,0,50,50,(903) 586-6191,http://cctxphd.org/
2841,Walgreens Pharmacy 02692,Pharmacy,,,CHANNELVIEW,,14806 WOODFOREST BLVD CHANNELVIEW 77530,77530,6/5/2021,18:17:24,18,0,0,0,0,18,0,,
2842,Rawls Rx Llc,Pharmacy,,1112 E Griffin Pkwy,Mission,Hidalgo,1112 E Griffin Pkwy,78572,5/27/2021,16:21:24,108,0,0,0,0,108,0,(956) 581-4200,http://richardsrx.com/
2843,"MLDP OF TEXAS, LP dba Legends Pharmacy",Pharmacy,,,San Antonio,Bexar,6601 Blanco Rd Suite 250 ,78216,5/27/2021,7:11:54,0,150,0,0,570,720,0,,
2844,VPA Of Texas Pllc - San Antonio,Medical Practice,,,San Antonio,Bexar,5414 Fredericksburg Rd suite 100,78229,5/28/2021,7:46:26,0,100,0,3,0,100,3,,
2845,Complete Healthcare Services ,Medical Practice,,315 W Houston St,Jasper,Texas,315 W Houston St,75951,6/22/2021,17:07:11,0,0,0,0,40,40,0,409-384-3430,
2846,Coastal Bend Kids Clinic,Community Clinic,,,Kingsville,Kleberg,1018 S 14th St D,78363,7/15/2021,15:39:31,449,140,491,150,0,589,641,,
2847,"CD Urgent Care Center 5, PLLC",Community Clinic,,,Fort Worth,Tarrant,3020 W 7th Street,76107,5/28/2021,11:20:34,0,280,0,0,0,280,0,,
2848,Concentra Urgent Care - Austin,Medical Practice,,,Austin,Travis,10001 S Ih 35 Frontage Rd,78735,5/25/2021,8:12:48,0,420,0,0,0,420,0,,
2849,Concentra Urgent Care - Mesquite,Community Clinic,,Samuell Blvd,Mesquite,Dallas,4928 Samuell Blvd,75149,5/27/2021,10:58:48,0,200,0,0,0,200,0,,
2850,InHouse/MLife,Medical Practice,,Highway 157 N,Mansfield,Tarrant,"1200 Highway 157, Mansfield, TX, USA",76063,6/24/2021,6:54:57,0,350,0,0,0,350,0,,
2851,"Zavera McDonald, FNP, PLLC Busy Bee Mobile Health Clinic",Other,,3695 Kirby Dr,Pearland,Brazoria,3695 KIRBY DR STE 125 Pearland 77584,77584,5/27/2021,11:48:52,2259,600,0,0,0,2859,0,,
2852,Valley Care Clinics Weslaco,Community Clinic,,2017 W Expressway 83,Weslaco,Hidalgo,2017 W EXPRESSWAY 83 STE 1 WESLACO 78596,78596,5/21/2021,18:31:28,0,260,0,0,0,260,0,,
2853,Porter Medical Associates - San Antonio,Other,,2829 Babcock Rd,San Antonio,Bexar,2829 Babcock Rd,78229,5/25/2021,8:56:49,0,400,0,0,0,400,0,,
2854,Comprehensive Care Clinic - SPRING,Community Clinic,,,Spring,Harris,7623 Louetta Road Suite 104,77379,5/28/2021,15:26:07,0,110,0,0,0,110,0,,
2855,"Chauburg, PLLC",Medical Practice,,3051 N Zaragoza Rd,El Paso,El Paso,3051 North Zaragoza Road,79938,6/25/2021,9:36:20,0,100,0,100,0,100,100,(915) 401-8019,
2856,Emergentcare2goLLC,Community Clinic,,929 West Pioneer parkway Grand Prairie 75051,Grand Prairie,Dallas,929 West Pioneer parkway Grand Prairie 75051,75051,5/27/2021,20:21:50,0,60,0,0,0,60,0,,
2857,Texas A And M University Health,Other,U,6300 Ocean Dr,Corpus Christi,Nueces,"6300 Ocean Dr, Corpus Christi, TX 78412",78412,6/23/2021,8:42:35,0,40,0,0,0,40,0,(361) 825-5700,
2858,Mi Doctor #10,Medical Practice,,,Plano,Collin,1120 E Parker Rd Ste 195,75074,5/28/2021,8:36:05,0,0,0,26,0,0,26, 469-298-1216 ,
2859,Pieratts Pharmacy,Pharmacy,,233 S Knox Ave,Giddings,Lee,233 South Knox Avenue,3429,5/29/2021,7:14:46,84,100,0,20,0,184,20,(979) 542-3164,
2860,Tom Thumb Pharmacy 1972,Pharmacy,,980 Highway 287 N,Mansfield,Tarrant,980 Highway 287 N,76063,5/31/2021,16:25:49,252,0,0,0,100,352,0,(817) 453-0838,https://local.pharmacy.tomthumb.com/tx/mansfield/980-hwy-n-287.html
2861,Walgreens Pharmacy 06517,Pharmacy,,,,,"1495 CYPRESS CREEK RD Cedar Park, TX 78613",,5/30/2021,16:28:46,0,0,0,0,100,100,0,(512) 401-2151,https://www.walgreens.com/locator/walgreens-1495+cypress+creek+rd-cedar+park-tx-78613/id=6517
2862,Houston County Family Medical Clinic,Medical Practice,G,1501 E. Loop 304,Crockett,Houston,"1501 E Loop 304, Suite #50",75835,7/27/2021,8:13:16,0,20,0,20,0,20,20,(936) 544-7223,
2863,Gobina's Pharmacy Services LLC,Pharmacy,,,Edinburg,Hidalgo,3521 W Freddy Gonzalez Dr,78539,5/28/2021,17:58:25,1074,150,0,0,0,1224,0,,
2864,martin's san juan drug inc,Pharmacy,,,San Juan,Hidalgo,601 S Nebraska Ave,78589,5/28/2021,9:36:05,0,190,0,0,0,190,0,,
2865,CityDoc Urgent Care,Community Clinic,,2909 Mckinney Avenue,Dallas,Dallas,2909 MCKINNEY AVE STE B Dallas 75204,75204,5/28/2021,10:57:48,0,150,0,0,0,150,0,,
2866,Medcare Plus Pharmacy,Other,,,Elmendorf,Bexar,3712 New Mathis Rd,78112,7/27/2021,12:45:14,54,110,0,0,100,264,0,(210) 794-0099,
2867,GOLDEN PLAINS COMMUNITY HOSPITAL,Hospital,A,100 Medical Dr, Borger,Hutchinson,"100 Medical Dr, Borger, TX, 79007",79007,7/19/2021,8:26:55,0,100,0,40,0,100,40,(806) 467-5700,
2868,The University of Texas Health Science Center at Houston,Vaccine Hub,Q,1851 Crosspoint Ave.,Houston,Harris,1851 Crosspoint Ave.,77054,6/4/2021,8:08:23,200,200,200,200,4830,5230,400,713-500-7476,https://www.utphysicians.com/covid19vaccine/
2869,Walgreens Pharmacy 04134,Pharmacy,,,Austin,,11724 RESEARCH BLVD,78759,5/31/2021,15:05:32,0,0,0,2310,40,40,2310,(512) 250-2070,https://www.walgreens.com/locator/walgreens-11724+research+blvd-austin-tx-78759/id=4134
2870,Walgreens Pharmacy 11175,Pharmacy,,,,,"701 US HIGHWAY 259 N Kilgore, TX 75662",,5/30/2021,17:33:39,144,0,0,0,50,194,0,(903) 983-2892,https://www.walgreens.com/locator/walgreens-701+us+highway+259+n-kilgore-tx-75662/id=11175
2871,Walgreens Pharmacy 09602,Pharmacy,,,,,"6467 WOODLANDS PKWY The Woodlands, TX 77381",,5/30/2021,18:09:35,0,244,0,0,70,314,0,(281) 292-6743,https://www.walgreens.com/locator/walgreens-6467+woodlands+pkwy-the+woodlands-tx-77381/id=9602
2872,Pediatric Center Richmond,Medical Practice,,1300 Main Street,Richmond,Fort Bend,1300 Main Street,77469,7/27/2021,8:18:12,444,20,0,0,0,464,0,(281) 341-9696,http://www.pediatriccenter.com/
2873,LUMIN Diagnostic Services LLC,Other,,610 Uptown Blvd,Cedar Hill,Dallas,"610 Uptown Boulevard, Cedar Hill, TX, USA",75104,7/13/2021,6:28:18,78,320,0,0,355,753,0,469-773-9261,
2874,International Travel Solutions-Fort Worth,Medical Practice,,5608 Malvey Ave,Fort Worth,Tarrant,"5608 Malvey Avenue, Fort Worth, TX, USA",76107,6/1/2021,8:36:22,0,150,0,0,0,150,0,,
2875,InHouse Physicians-R3 Core Clinic,Other,,2613 Denton Tap Rd,Lewisville,Denton,2613 Denton Tap Road,75067,6/11/2021,6:29:02,0,80,0,0,0,80,0,,
2876,Texas Diagnostic Services PLLC,Other,,Suite 101,Plano,collin,"5228 Village Creek Drive, Plano, TX, USA",75093,5/27/2021,8:42:46,0,200,0,0,0,200,0,,
2877,Woori Pharmacy,Pharmacy,,3320 K Ave,Plano,Collin,"3320 K Avenue, Plano, TX, USA",75074,5/29/2021,22:32:23,0,140,0,80,0,140,80,,
2878,Grace Pediatrics & Family Clinic,Medical Practice,,9207 Country Creek Dr Ste 206,Houston ,Harris,9207 Country Creek Dr Ste 206 Houston 77036,77036,6/30/2021,9:10:18,0,230,0,0,0,230,0,713-988-6835,
2879,Walgreens Pharmacy 09323,Pharmacy,,610 E Malloy Bridge Rd,Seagoville,Dallas,"610 East Malloy Bridge Road, Seagoville, TX, USA",75159,5/30/2021,18:18:57,96,756,0,0,90,942,0,,
2880,PAGES HEALTH SERVICES INC,Community Clinic,,,Houston,Harris,16100 Cairnway Dr,77084,7/21/2021,9:47:13,0,160,0,160,0,160,160,,
2881,Eagle Pharmacy - Lindale,Pharmacy,,1404 S Main St,Lindale,Smith,1404 S Main St,75771,6/12/2021,11:26:50,1100,700,0,0,0,1800,0,,http://www.eaglerx.net/
2882,Quickcare.me,Community Clinic,,,Corpus Christi,Nueces,6181 Saratoga Blvd,78414,6/4/2021,8:48:13,0,340,0,170,145,485,170,,
2883,East Texas Border Health Clinic dba Genesis PrimeCare - Atlanta,Community Clinic,F,1011 S William Street,Atlanta,Cass,1011 S William Street,75551,5/27/2021,8:48:41,0,980,0,0,465,1445,0,,
2884,East Texas Border Health Clinic dba Genesis PrimeCare - Marshall,Community Clinic,,805 Lindsey Dr,Marshall,Harrison,"805 Lindsey Drive, Marshall, TX, USA",5271,5/27/2021,8:50:20,0,1470,0,0,0,1470,0,,
2885,Los Barrios Unidos Community Clinic - Dallas 2,Other,,3111 Sylvan Ave,Dallas,Dallas,3111 Sylvan Ave,75212,6/1/2021,9:10:04,672,400,0,0,0,1072,0,12145400300,http://losbarriosunidos.org/
2886,"Superfast Pharmacy And Medical Supplies, LLC",Pharmacy,,11690 Spring Cypress Rd Ste 100,Tomball,Harris,11690 Spring Cypress Rd Ste 100,77377,5/28/2021,9:18:00,0,60,0,60,75,135,60,,
2887,RGV Hometown Pharmacy PLLC,Pharmacy,,608 E Harrison Ave ,Harlingen,Cameron,"608 E Harrison Ave, Harlingen, Texas 78550",78550,6/2/2021,9:26:44,0,322,0,104,0,322,104,(956) 496-2093,https://www.rgvhometownpharmacy.com/
2888,Evins Regional Juvenile Center/Utmb,Other,,,Edinburg,Hidalgo,3801 E Monte Cristo,78541,6/4/2021,15:14:03,0,0,0,0,80,80,0,,
2889,Sridhar Iyer Md,Medical Practice,,802 N Bonnie Brae St Ste 104,Denton,Denton,802 N BONNIE BRAE ST STE 104104 Denton 76201,76201,5/26/2021,16:35:52,0,0,0,114,0,0,114,,
2890,FIRST LONE STAR PHARMACY GROUP III LLC,Community Clinic,,,Joshua,Joshua,504 N Broadway St,76058,7/17/2021,12:53:52,0,210,0,0,0,210,0,,
2891,Powerhouse Pharmacy Rx LLc,Pharmacy,,W Mockingbird Ln,Dallas,Dallas,"4740 West Mockingbird Lane, Dallas, TX, USA",75209,5/31/2021,22:13:35,1602,0,1170,0,45,1647,1170,,
2892,Medicine Shoppe 1247,Pharmacy,,3310 Fort Boulevard,El Paso,El Paso,3310 Fort Boulevard,79930,5/29/2021,18:44:58,0,0,0,100,155,155,100,,
2893,"CHOICE PHARMACY, INC.",Pharmacy,,9935 Bissonnet St,Houston,Harris,"9935 Bissonnet Street, Houston, TX, USA",77036,6/2/2021,16:15:55,1088,310,1170,0,185,1583,1170,,
2894,Brightmed Corporation,Other,,,Houston,Harris,9630 CLAREWOOD DR STE A3,77036,5/28/2021,12:10:17,300,60,0,0,0,360,0,,
2895,Jefferson County Immunization Clinic,Other,,1295 Pearl St,Beaumont,Jefferson,"1295 Pearl Street, Beaumont, TX, USA",77701,5/26/2021,11:16:31,0,0,0,500,0,0,500,(409)835-8530,https://co.jefferson.tx.us/PublicHealth/PublicHealth.htm
2896,W & W Medical Consulting,Other,,,Harlingen,,1821 S SESAME SQ STE 14 ,78550,7/16/2021,11:03:32,0,80,0,300,5,85,300,19568251235,
2897,Absolute CPR and Allied Health Training ,Other,,Wheatland Road Suite 180,Duncanville,DALLAS,"4025 West Wheatland Road, Dallas, TX, USA",75116,5/28/2021,8:03:55,1012,0,1012,0,0,1012,1012,,
2898,HEALTHCO PHARMACY #2,Federal Allocation,,8604 Martin Luther King Jr Blvd,Houston,77033,8604 Martin Luther King Jr Blvd,Harris,5/29/2021,5:17:29,1140,0,0,0,615,1755,0,,
2899,Randol Mill Pharmacy,Pharmacy,,1014 N Fielder Rd,Arlington,Tarrant,1014 North Fielder Road,76012,5/29/2021,8:47:42,0,210,0,0,0,210,0,,randolmillrx@aol.com
2900,Peoples Pharmacy #1,Pharmacy,,, Austin,,4018 N Lamar Blvd,78756,5/31/2021,11:06:05,0,0,0,10,295,295,10,,
2901,United Pharmacy 513,Pharmacy,,3000 Wilbarger St,Vernon,Wilbarger,3000 Wilbarger St,76384,5/29/2021,12:17:51,12,290,0,250,55,357,250,,
2902,Linex Enterprises LLC,Pharmacy,,8635 Long Point Rd Ste C,Houston,Harris,"8635 Long Point Road, STE C",77055,5/29/2021,15:23:02,0,0,0,30,0,0,30,(713) 492-2679,prontorxpharmacy@gmail.com
2903,Walgreens Pharmacy 04078,Pharmacy,,,Katy ,,5161 Franz Rd ,77493,5/30/2021,17:33:29,0,173,0,0,0,173,0,,
2904,Walgreens Pharmacy 02537,Pharmacy,,,,,"1020 N COLLINS ST Arlington, TX 76011",,6/6/2021,14:19:05,0,280,0,280,20,300,280,(817) 303-3275,https://www.walgreens.com/locator/walgreens-1020+n+collins+st-arlington-tx-76011/id=2537
2905,Walgreens Pharmacy 06996,Pharmacy,,,,,"4200 E LANCASTER AVE Fort Worth, TX 76103",,6/4/2021,15:41:38,330,0,330,0,0,330,330,(817) 413-7442,https://www.walgreens.com/locator/walgreens-4200+e+lancaster+ave-fort+worth-tx-76103/id=6996
2906,"Beverly Advanced Practice Nursing, Pllc",Other,,103 Woodbine Pl Ste A Longview 75601,Longview,Gregg,103 Woodbine Pl Ste A,75601,5/29/2021,16:51:56,0,10,0,0,0,10,0,,
2907,Shadow Creek Medical Clinic,Medical Practice,,11021 Shadow Creek Pkwy,Pearland,Brazoria,11021 Shadow Creek Pkwy,77584,7/27/2021,8:08:11,0,0,0,0,105,105,0,(713) 340-1977,http://shadowcreekmedicalclinic.com/
2908,Visiting Practitioner and Palliative Care,Medical Practice,,15420 Nacogdoches Rd,San Antonio,Bexar,15420 NACOGDOCHES RD San Antonio 78247,78247,5/26/2021,9:54:32,1170,0,0,0,0,1170,0,,
2909,Parkland Family Medicine Clinic,Community Clinic,,5920 Forest Park Rd. Ste 601,Dallas,Dallas,"5920 Forest Park Road, Ste 601",75235,5/31/2021,7:46:19,72,0,0,0,0,72,0,(214) 266-0324,covidvaccinecommunications@phhs.org
2910,Samuel Gan Md,Medical Practice,,6918 Corporate Dr Ste A10,Houston,Harris,6918 Corporate Dr Ste A10,77036,5/28/2021,12:53:54,0,150,0,0,0,150,0,(713) 777-3150,http://www.memorialhermann.org/doctors/family-medicine-doctors/dr-samuel-gan-md-647087/
2911,YOAKUM COMMUNITY HOSPITAL,Hospital,S,1200 Carl Ramert Drive, Yoakum,Lavaca,"1200 Carl Ramert Drive, Yoakum, TX, 77995",77995,5/27/2021,10:17:24,0,0,0,0,490,490,0,(361) 293-2321,http://www.yoakumhospital.org/
2912,986 Specialty Pharmacy,Pharmacy,,,Plano,Collin,6205 Coit Rd Suite 356,75024,7/6/2021,11:19:37,0,0,0,50,90,90,50,,
2913,Baylor St. Luke's Medical Group-Conroe,Other,,17350 St Lukes Way,Conroe,Montgomery,17350 St Lukes Way,77384,6/22/2021,9:23:20,0,300,0,0,0,300,0,(936) 266-8567,
2914,Baylor St. Luke's Medical Group ,Community Clinic,,6363 San Felipe St,Houston,Harris,6363 San Felipe Street,77057,7/26/2021,13:46:38,0,240,0,0,0,240,0,(713) 972-8900,
2915,La Esperanza Clinic- 31st Street,Community Clinic,,35 e 31st st,San Angelo,Tom Green,35 E 31st St,76903,6/7/2021,11:25:27,60,0,0,0,0,60,0,13256585339,http://www.esperanzahealth.org/
2916,Doctors Pharmacy,Other,,,Midland,Midland,2215 N Midland Dr,79707,6/1/2021,16:34:02,0,350,0,0,0,350,0,,
2917,PHARMACY STATION,Federal Allocation,,,RAYMONDVILLE,,640 S EXPRESSWAY 77 STE 2 ,78580,5/27/2021,11:10:53,0,200,0,0,205,405,0,(956) 689-4120,
2918,"Well Lake Specialty Pharmacy, Llc",Pharmacy,,6565 West Loop S Ste,Bellaire,Harris,6565 West Loop S Ste,77401,5/28/2021,16:49:54,1088,50,0,0,0,1138,0,,
2919,Houston Health Department,Vaccine Hub,,8000 N Stadium Dr,Houston,Harris,"8000 N Stadium Dr, Houston, Texas 77054",77054,5/31/2021,17:41:53,0,10000,0,10000,0,10000,10000,(832) 393-4220,https://houstonemergency.org/covid19/
2920,Chemik Health care services ,Other,,9555 W Sam Houston Pkwy S,Houston,Harris,"9555 West Sam Houston Parkway South, Houston, TX, USA",77099,5/28/2021,7:43:55,0,30,0,0,0,30,0,,
2921,Pediatric Clinic Of Sunnyvale,Community Clinic,,2820 N Belt Line Rd,Sunnyvale,Dallas,2820 N Belt Line Rd,75182,6/8/2021,8:56:58,0,150,0,0,0,150,0,,
2922,Bellaire Allergy &  Asthma,Other,,6750 WEST LOOP S STE 460 BELLAIRE 77401,Bellaire,Harris,6750 WEST LOOP S STE 460 BELLAIRE 77401,77401,5/28/2021,9:34:45,0,0,0,4,0,0,4,,
2923,"Pediatric Pulmonary Associates of North Texas, P. A. ",Medical Practice,,Wade Blvd,Frisco,Collin,"8501 Wade Blvd, Suite 1020",75034,7/15/2021,18:04:50,0,180,0,0,0,180,0,19726685864,
2924,JD Healthcare 2 LLC,Other,,1824 Parkway Dr,Lubbock,,1824 PARKWAY DR # 100 Lubbock 79403,79403,6/3/2021,16:03:46,0,0,0,290,100,100,290,,
2925,Texas Diagnostic Imaging,Other,,5508 W Plano Pkwy,Plano,Collin,5508 W Plano Pkwy,75093,6/7/2021,9:21:23,0,100,0,0,0,100,0,,
2926,Internal Medicine Associates Of Galveston,Medical Practice,,,Galveston,Galveston,501 Holiday Dr,77550,5/28/2021,7:48:34,0,140,0,0,0,140,0,,
2927,AdventHealth Rollins Brook Hospital,Hospital,L,608 North Key Avenue,Lampasas,LAMPASAS,608 North Key Avenue,76550,5/28/2021,9:54:18,0,130,0,0,0,130,0,512-564-2240,
2928,Falls Community Hospital & Clinic,Vaccine Hub,M,322 Coleman Street, Marlin,Falls,"307 Live Oak Street Marlin, TX  76661",76661,5/19/2021,16:51:26,2328,0,1361,0,70,2398,1361,254-252-2667,http://www.fallshospital.com/
2929,SUN CITY WEST ER,Other,I,351 E Redd Road,El Paso,El Paso,"351 E Redd Road, El Paso, Tx 79932",79932,6/2/2021,7:52:21,33,42,0,0,0,75,0,(915) 308-4218,http://www.suncityer.com/
2930,THE HEIGHTS EMERGENCY ROOM,Other,Q,101 North Loop W,Houston,Harris,"101 North Loop W, Houston, Tx 77018",77018,6/1/2021,12:14:28,0,190,0,0,0,190,0,(713) 588-0320,http://houstonheightser.com/
2931,Highland Park Emergency Center Llc,Other,E,5150 Lemmon Ave,Dallas,Dallas,"5150 Lemmon Ave, Dallas, Texas 75209",75209,6/3/2021,14:50:30,0,100,0,0,0,100,0,(214) 891-5579,http://highlandparker.com/
2932,Lithonia Healthcare Development LLC,Other,,W Mockingbird Lane,Dallas,Dallas,1341 W Mockingbird Lane,75247,5/20/2021,8:56:21,500,200,500,0,0,700,500,,
2933,Hillside Family Health Clinic Pa,Medical Practice,,7130 Bell St,Amarillo,Randall,"7130 Bell St,  Amarillo, Texas 79109",79109,7/7/2021,6:53:27,0,0,0,0,55,55,0,(806) 373-4010,http://hfhcamarillo.com/
2934,"Harold J Pean MD, PA",Medical Practice,,,Mission,Hidalgo,909 Business Park Drive,78572,5/25/2021,17:12:21,0,0,0,320,0,0,320,,
2935,Ibn Sina Community Medical Clinic Port Arthur,Community Clinic,R,8455 9th Ave Suite B,Port Arthur,Jefferson,"8455 9th Ave Suite B, Port Arthur, TX 77642",77642,7/9/2021,9:14:39,0,0,0,0,95,95,0,(409) 724-7462,https://www.ibnsinafoundation.org/
2936,Ibn Sina Foundation Community Clinic South Post Oak,Community Clinic,,16345 S Post Oak Rd,Houston,Fort Bend,"16345 S Post Oak Rd, Houston, Texas 77053",77053,7/6/2021,11:41:58,138,0,0,0,0,138,0,(281) 438-7462,http://ibnsinafoundation.org/
2937,"Excel Urgent Care, PLLC - Houston",Community Clinic,,,Houston,Harris,19450 Katy Freeway,77094,7/14/2021,12:18:28,0,0,0,10,0,0,10,,
2938,Rio Grande Medicine,Other,,,HARLINGEN,,5505 S EXPRESSWAY 77 STE205,78550,6/1/2021,8:04:47,0,6,0,0,0,6,0,(956) 421-2757,
2939,Sanitas Medical Center Texas,Other,,12586 Westheimer Rd Houston 77077,Houston,Harris,jeffery.gubbels@mysanitas.com,77077,6/10/2021,18:40:55,0,400,0,0,0,400,0,,
2940,Innate Medical Solution,Medical Practice,,749 N Waldrip,Grand Saline,Van Zandt,"749 N Waldrip, Grand Saline, Texas 75140",75140,6/11/2021,8:05:56,0,290,0,0,95,385,0, (903) 781-3160    (972) 938-7319  ,http://www.innatemedicalsolutions.com/
2941,All Children Pediatric Clinic - Mcallen,Community Clinic,,6900 N10th Street,Mcallen,Hidalgo,6900 N10th Street,78504,7/24/2021,16:49:45,390,80,0,0,0,470,0,,
2942,Dr Peter Chang,Medical Practice,,,Bellaire,Harris,6565 W Loop South,77401,5/25/2021,8:16:06,1158,0,0,0,0,1158,0,,
