,Clinic Name,Clinic Address,Clinic Suite,Clinic Address Additional,Clinic City,Clinic State,Clinic Zip Code,County Name,Number of Doses Allocated,Most Recent Order Date,Georeferenced Latitude & Longitude,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered
1821,Rite Aid Store #01726,6531 Route 22,,,Delmont,Pennsylvania,15626,Westmoreland,,,POINT (-79.58493 40.400334),,,
1822,Cwc-costco Pharmacy 00328,1050 Cranberry Square Drive,,,Cranberry Twp,Pennsylvania,16066,Butler,,,POINT (-80.10679 40.689876),,,
1823,Yorktown Pharmacy,8110 Old York Road,B,,Elkins Park,Pennsylvania,19027,Montgomery,300,5/4/2021,POINT (-75.127344 40.077038),0,300,0
1824,Mlhc-lankenau Medical Center,100 E Lancaster Ave,,Inpatient Pharmacy,Wynnewood,Pennsylvania,19096,Montgomery,3510,5/4/2021,POINT (-75.265557 39.993575),3510,0,0
1825,Weis Pharmacy-155,3236 Route 940,Suite 116,,Mount Pocono,Pa,18344,Monroe,,,POINT (-75.374456 41.12204),,,
1826,Lvrx Pharmacy,211 South Market Street,,,Ligonier,Pennsylvania,15658,Westmoreland,,,POINT (-79.239245 40.24177),,,
1827,Giant Eagle Pharmacy-46,344 Goucher St.,,,Johnstown,Pennsylvania,15905,Cambria,,,POINT (-78.93244 40.292515),,,
1828,Lgh-lancaster General Hospital,555 North Duke Street,,,Lancaster,Pennsylvania,17603,Lancaster,1000,5/4/2021,POINT (-76.305328 40.046975),0,1000,0
1829,Giant Pharmacy-6518,2350 Susquehanna Road,,,Roslyn,Pa,19001,Montgomery,,,POINT (-75.134547 40.12179),,,
1830,Weis Pharmacy-29,800 S. 12th Street,,,Lebanon,Pennsylvania,17042,Lebanon,,,POINT (-76.428708 40.328124),,,
1831,Darlings Sugar Grove Healthmart Pharmacy,17 Forest St,,,Sugar Grove,Pennsylvania,16350,Warren,,,POINT (-79.341241 41.982825),,,
1832,Cwc-costco Pharmacy 00649,501 West Waterfront Drive,,,Homestead,Pennsylvania,15120,Allegheny,,,POINT (-79.919943 40.40616),,,
1833,Andrew Browns Drug Store,1502 Pittston Ave,,,Scranton,Pennsylvania,18505,Lackawanna,,,POINT (-75.673721 41.391428),,,
1834,Rite Aid Store #02510,43-47 Baltimore Street,,,Hanover,Pennsylvania,17331,York,,,POINT (-76.982492 39.799752),,,
1835,Cvs/pharmacy01588,"1096 Wyoming Avenue, Midway S/c",,,Wyoming,Pennsylvania,18644,Luzerne,,,,,,
1836,Rite Aid Store #01975,4810 Penn Avenue,,,Sinking Springs,Pennsylvania,19608,Berks,,,POINT (-76.049423 40.326863),,,
1837,Modnur Prescription Pharmacy Inc,52 Keefer Dr,,,Mercersburg,Pennsylvania,17236,Franklin,,,POINT (-77.900284 39.840112),,,
1838,Cvs/pharmacy 16577,2769 Papermill Rd,19610,,Reading,Pennsylvania,19610,Berks,,,POINT (-75.983208 40.355968),,,
1839,Weis Pharmacy-144,5580 Crawford Drive,,,Bethlehem (part-northampton),Pennsylvania,18017,Northampton,,,POINT (-75.389087 40.673466),,,
1840,Walmart Store #2663,300 Walmart Dr,,,Ebensburg,Pennsylvania,15931,Cambria,,,POINT (-78.748673 40.473614),,,
1841,Walmart Store #1607,10180 Us Highway 522 S,,,Lewistown,Pennsylvania,17044,Mifflin,,,POINT (-77.613201 40.582887),,,
1842,Wellness Family Pharmacy,3250 Chichester Ave,,,Boothwyn,Pennsylvania,19061,Delaware,500,5/4/2021,POINT (-75.442314 39.836868),0,500,0
1843,Vdi-acorx Pharmacy,520 E Main Street,,,Carnegie,Pennsylvania,15106,Allegheny,,,POINT (-80.08082 40.411227),,,
1844,Rite Aid Store #11148,120 South Mill Road,,,Kennett Square,Pennsylvania,19348,Chester,,,POINT (-75.720296 39.844996),,,
1845,Weis Pharmacy-182,5020 Route 873,,,Schnecksville,Pa,18078,Lehigh,,,POINT (-75.613976 40.677148),,,
1846,Rite Aid Store #00269,230 Hays Avenue,,,Pittsburgh,Pennsylvania,15210,Allegheny,,,POINT (-79.98788 40.414393),,,
1847,Cvs/pharmacy04082,410 East 12th Street,,,Erie,Pennsylvania,16503,Erie,,,POINT (-80.072075 42.12689),,,
1848,Giant Eagle Pharmacy-4,5055 Library Road,,,Bethel Park,Pennsylvania,15102,Allegheny,,,POINT (-80.025792 40.34047),,,
1849,Phn-sharon Medical Group-suite 2,63 Pitt St,301,,Sharon,Pennsylvania,16146,Mercer,100,5/4/2021,POINT (-80.507917 41.23373),0,100,0
1850,Rite Aid Store #10968,8775 Norwin Avenue,,,North Huntingdon,Pennsylvania,15642,Westmoreland,,,POINT (-79.693356 40.316913),,,
1851,Walmart Pharmacy #2641,1091 Mill Creek Rd,,,Allentown,Pennsylvania,18106,Lehigh,,,POINT (-75.581201 40.552764),,,
1852,Rite Aid Store #00451,1200 West Market Street,,,York,Pennsylvania,17404,York,,,POINT (-76.752557 39.954747),,,
1853,Weis Pharmacy-16,860 Carlisle Street,,,Hanover,Pa,17331,York,,,POINT (-76.991655 39.812909),,,
1854,Custom Care Pharmacy-milton-retail,57 S. Front St.,,,Milton,Pennsylvania,17847,Northumberland,,,POINT (-76.855706 41.019034),,,
1855,Rite Aid Store #00793,1927 Atherton Street,,,State College,Pennsylvania,16801,Centre,,,POINT (-77.832123 40.78498),,,
1856,Childrens Hospital of Philadelphia-main,34th Street and Civic Center Boulevard,,,Philadelphia,Pennsylvania,19104,Philadelphia,200,5/4/2021,POINT (-75.192906 39.948669),0,200,0
1857,Rite Aid Store #02271,"""4135 North George Street, Ext",,,Manchester,Pennsylvania,17345,York,,,POINT (-76.724318 40.043867),,,
1858,Giant Eagle Pharmacy-60,4010 Monroeville Boulevard,,,Monroeville,Pennsylvania,15146,Allegheny,,,POINT (-79.771947 40.435921),,,
1859,Sams Club Store #6581,921 Viewmont Dr,,,Scranton Dickson Ci,Pennsylvania,18519,Lackawanna,,,POINT (-75.646266 41.454786),,,
1860,Pharmscript of Pa Llc,200 W Kensinger Drive,600,,Cranberry Twp,Pennsylvania,16066,Butler,,,POINT (-80.116904 40.711254),,,
1861,Fresenius Kidney Care Bryn Mawr Dialysis,780 W Lancaster Avenue,,,Bryn Mawr,Pennsylvania,19010,Delaware,,,POINT (-75.316872 40.020768),,,
1862,Yorke Pharmacy,5524 New Falls Road,,,Levittown,Pennsylvania,19056,Bucks,,,POINT (-74.871435 40.143257),,,
1863,Rite Aid Store #07861,3145 Main Street,,,Morgantown,Pennsylvania,19543,Berks,,,POINT (-75.890344 40.15519),,,
1864,Giant Eagle Pharmacy-77,254 Yost Blvd.,,,Pittsburgh,Pennsylvania,15221,Allegheny,,,POINT (-79.855079 40.413274),,,
1865,Cvs/pharmacy02321,744 Wertzville Road,,,Enola,Pennsylvania,17025,Cumberland,,,POINT (-76.946718 40.287653),,,
1866,Weis Pharmacy-39,3644 Macarthur Road,,,Whitehall,Pa,18052,Lehigh,,,POINT (-75.51111 40.663853),,,
1867,Cvs/pharmacy02530,2870 Moreland Road,,,Willow Grove,Pennsylvania,19090,Montgomery,,,,,,
1868,Rite Aid Store #03200,623 Saint Clair Avenue,,,Clairton,Pennsylvania,15025,Allegheny,,,POINT (-79.888485 40.293514),,,
1869,Rite Aid Store #11058,241 North First Street,,,Lehighton,Pennsylvania,18235,Carbon,,,POINT (-75.709009 40.836329),,,
1870,Walmart Store #2208,1887 Elmira St,,,Sayre,Pennsylvania,18840,Bradford,,,POINT (-76.541277 41.976397),,,
1871,Adams Cumberland Pharmacy-biglerville,3463 Biglerville Rd,,,Biglerville,Pennsylvania,17307,Adams,,,POINT (-77.248303 39.924777),,,
1872,Sav-on Pharmacy #769,323 Old York Rd,,,Jenkintown,Pennsylvania,19046,Montgomery,,,POINT (-75.126544 40.089983),,,
1873,Rite Aid Store #03571,103 West Allegheny Road,,,Imperial,Pennsylvania,15126,Allegheny,,,POINT (-80.238823 40.442274),,,
1874,Cvs/pharmacy05710,285 St Rt #288,,,Ellwood City,Pennsylvania,16117,Lawrence,,,POINT (-80.258784 40.846367),,,
1875,Martins Pharmacy-6290,800 Vanderbilt Road,,,Connellsville,Pa,15425,Fayette,,,POINT (-79.603029 40.018548),,,
1876,Cvs/pharmacy17638,201 S Hills Vlg,,,Pittsburgh,Pa,152411408,Allegheny,,,POINT (-80.058254 40.344495),,,
1877,Cvs/pharmacy03165,95 Freeport Street,,,New Kensington,Pennsylvania,15068,Westmoreland,,,POINT (-79.757473 40.553323),,,
1878,Walmart Store #5446,405 Murtha Dr,,,Waynesburg,Pennsylvania,15370,Greene,,,POINT (-80.129794 39.895125),,,
1879,Cvs/pharmacy01917,"6007 Allentown Blvd, Paxton Square",,,Harrisburg,Pennsylvania,17112,Dauphin,,,,,,
1880,Rite Aid Store #03602,5675 York Road,,,New Oxford,Pennsylvania,17350,Adams,,,POINT (-77.042363 39.867097),,,
1881,Rite Aid Store #11087,5176 Cold Springs Creamery Rd,,,Doylestown,Pennsylvania,18902,Bucks,,,POINT (-75.089363 40.358485),,,
1882,Cvs/pharmacy05064,335 Lancaster Ave,,,Frazer,Pennsylvania,19355,Chester,,,POINT (-75.550395 40.03957),,,
1883,Walmart Store #1537,1270 York Rd,,,Gettysburg,Pennsylvania,17325,Adams,,,POINT (-77.201265 39.844025),,,
1884,Hampton Pharmacy and Wellness,4678 William Flynn Highway,,,Allison Park,Pennsylvania,15101,Allegheny,,,POINT (-79.947986 40.59239),,,
1885,Martins Pharmacy-6012,2032 E Pleasant Vly Blvd,,,Altoona,Pa,16602,Blair,,,POINT (-78.339635 40.562816),,,
1886,Rite Aid Store #10949,5410 Keeport Drive,,,Pittsburgh,Pennsylvania,15236,Allegheny,,,POINT (-79.97906 40.337043),,,
1887,Rite Aid Store #00229,1184 Texas Palmyra Highway,,,Honesdale,Pennsylvania,18431,Wayne,,,POINT (-75.224928 41.553747),,,
1888,Weis Pharmacy-51,1471 Martin Street,,,State College,Pa,16803,Centre,,,POINT (-77.891 40.804368),,,
1889,Walgreens Store # 3764,690 2nd Street Pike,,,Southhampton,Pennsylvania,18966,Bucks,,,POINT (-75.043945 40.174033),,,
1890,Giant Pharmacy-6517,168 N Flowers Mill Road,,,Langhorne,Pa,19047,Bucks,,,POINT (-74.907509 40.181649),,,
1891,Vdi-mainline Pharmacy Ebensburg,3720 New Germany Road,,,Ebensburg,Pennsylvania,15931,Cambria,1000,5/4/2021,POINT (-78.735743 40.481057),0,1000,0
1892,Rite Aid Store #00507,10 South Center Street,,,Pottsville,Pennsylvania,17901,Schuylkill,,,POINT (-76.194863 40.684784),,,
1893,Cvs/pharmacy01640,"4686 Rte 209, Lykens Valley S/c",,,Elizabethville,Pennsylvania,17023,Dauphin,,,,,,
1894,Rite Aid Store #00208,15 South Main Street,,,Shenandoah,Pennsylvania,17976,Schuylkill,,,POINT (-76.201201 40.820351),,,
1895,Sluhhn-miners,360 W. Ruddle St,,,Coaldale,Pennsylvania,18218,Schuylkill,900,5/4/2021,POINT (-75.914152 40.821619),0,900,0
1896,Symbria Rx Great Lakes South Llc,1596 Hancock Avenue,,,Apollo (part-armstrong),Pennsylvania,15613,Armstrong,,,POINT (-79.570446 40.576025),,,
1897,Boswell Pharmacy Services,131 Schoolhouse Rd.,,Po Box 266,Jennerstown,Pennsylvania,15547,Somerset,200,5/4/2021,POINT (-79.06147 40.160412),0,200,0
1898,Walgreens Store # 9950,2055 Old Washington Pike,,,Carnegie,Pennsylvania,15106,Allegheny,,,POINT (-80.09033 40.388045),,,
1899,Cvs/pharmacy05098,330 W. Columbus Ave.,,,Corry,Pennsylvania,16407,Erie,,,POINT (-79.654529 41.937492),,,
1900,Cvs/pharmacy01610,201 Muncy Creek Blvd.,,,Muncy,Pennsylvania,17756,Lycoming,,,POINT (-76.761399 41.211257),,,
1901,Giant Eagle Pharmacy-10,8901 Rt. 30 N. Huntingdon Sq,,,North Huntingdon,Pennsylvania,15642,Westmoreland,,,,,,
1902,Rite Aid Store #00274,1700 Murray Avenue,,,Pittsburgh,Pennsylvania,15217,Allegheny,,,POINT (-79.922983 40.437837),,,
1903,Giant Eagle Pharmacy-42,206 Seven Fields Blvd,,,Seven Fields,Pennsylvania,16046,Butler,,,POINT (-80.057368 40.689247),,,
1904,Integrated Health 21,2403 Sidney Street Suite 220,,,Pittsburgh,Pennsylvania,15203,Allegheny,600,5/4/2021,POINT (-79.96965 40.428767),0,600,0
1905,Walmart Store #1591,6535 Grayson Rd,,,Harrisburg,Pennsylvania,17111,Dauphin,,,POINT (-76.769933 40.2626),,,
1906,Wegmans Pharmacy #097,5000 Wegmans Drive,,,Bethlehem (part-lehigh),Pennsylvania,18017,Northampton,,,POINT (-75.38801 40.665563),,,
1907,Rite Aid Store #10983,200 Greater Butler Mart,,,Butler,Pennsylvania,16001,Butler,,,POINT (-79.917845 40.843295),,,
1908,Penn State Health Cmty Vax Site-berks,2400 Bernville Road,,,Reading,Pennsylvania,19605,Berks,3070,5/4/2021,POINT (-75.970548 40.374401),1170,1900,0
1909,Keystone Community Health Services,111 Chambers Hill Drive,Suite 102,,Chambersburg,Pennsylvania,17201,Franklin,200,5/4/2021,,0,200,0
1910,Weis Pharmacy-22,313-337 W. Bald Eagle Street,,,Lock Haven,Pa,17745,Clinton,,,POINT (-77.452987 41.133538),,,
1911,Trilogy Mission Rx Llc Dba Pca Pbg,307 23rd Street Extension,164,,Sharpsburg,Pennsylvania,15215,Allegheny,,,POINT (-79.910239 40.495161),,,
1912,Rite Aid Store #01021,401-403 South Main Street,,,Old Forge,Pennsylvania,18518,Lackawanna,,,POINT (-75.737012 41.368999),,,
1913,Cvs/pharmacy06042,3210 Carlisle Road,,,Dover,Pennsylvania,17315,York,,,POINT (-76.825147 39.984294),,,
1914,Rite Aid Store #10893,1200 Pittsburgh Street,,,Cheswick,Pennsylvania,15024,Allegheny,,,POINT (-79.80381 40.541063),,,
1915,Weis Pharmacy-41,1204 Millersville Pike,,,Lancaster,Pa,17603,Lancaster,,,POINT (-76.326384 40.027676),,,
1916,Cvs/pharmacy07612,237 Monroeville Ave,,,Turtle Creek,Pennsylvania,15145,Allegheny,,,POINT (-79.822886 40.405973),,,
1917,Vdi-kevins Shop N Save Pharmacy,799 Castle Shannon Blvd,,,Pittsburgh,Pennsylvania,15234,Allegheny,,,POINT (-80.028375 40.368323),,,
1918,Waltmire Pharmacy,1435 Spring Garden Ave,,,Pittsburgh,Pennsylvania,15212,Allegheny,,,POINT (-79.986847 40.462784),,,
1919,Us Renal Care St Marys,753 Johnsonburg Road,,,Saint Marys,Pennsylvania,15857,Elk,,,POINT (-78.574825 41.425179),,,
1920,Wegmans Pharmacy #076,1315 Cold Spring Road,,,Scranton,Pennsylvania,18508,Lackawanna,,,,,,
1921,Rite Aid Store #10990,31 North Jefferson Street,,,New Castle,Pennsylvania,16101,Lawrence,,,POINT (-80.347202 41.000438),,,
1922,Giant Pharmacy-6054,455 Eisenhower Drive,,,Hanover,Pa,17331,York,,,POINT (-76.978586 39.825148),,,
1923,Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,7340,5/4/2021,POINT (-75.584731 39.957921),2340,5000,0
1924,Newhard Pharmacy,1001 Main Street,,,Northampton,Pennsylvania,18067,Northampton,,,POINT (-75.4889 40.679147),,,
1925,Giant Eagle Pharmacy-32,4810 Old William Penn Hwy,,,Export,Pennsylvania,15632,Westmoreland,,,POINT (-79.662289 40.423604),,,
1926,Giant Pharmacy-6457,7150 Hamilton Boulevard,,,Trexlertown,Pa,18087,Lehigh,,,POINT (-75.593699 40.551865),,,
1927,Walgreens Store # 10549,2801 Sharkys Dr,,,Latrobe,Pennsylvania,15650,Westmoreland,,,POINT (-79.389794 40.285861),,,
1928,Walmart Store #2049,2600 Plank Rd,,,Altoona,Pennsylvania,16601,Blair,,,POINT (-78.408745 40.455462),,,
1929,Rite Aid Store #06712,100 Forbes Avenue,Ste. 100,,Pittsburgh,Pennsylvania,15222,Allegheny,,,POINT (-80.003733 40.441084),,,
1930,Rite Aid Store #04284,3601 Walnut Street,,,Harrisburg,Pennsylvania,17109,Dauphin,,,POINT (-76.836931 40.288332),,,
1931,Rite Aid Store #11025,65 Newberry Parkway,,,Etters,Pennsylvania,17319,York,,,POINT (-76.805528 40.159826),,,
1932,Walgreens Store # 11812,20260 Route 19,,,Cranberry Twp,Pennsylvania,16066,Butler,,,POINT (-80.102474 40.689236),,,
1933,Millersburg Pharmacy Inc,242 Market Street,,,Millersburg,Pennsylvania,17061,Dauphin,,,POINT (-76.961391 40.539661),,,
1934,Cvs Pharmacy #11421,1216 West 6th St,,,Erie,Pennsylvania,16507,Erie,,,POINT (-80.111346 42.119865),,,
1935,Phoebe Services Pharmacy-east Petersburg,1110 Enterprise Road,C,,East Petersburg,Pennsylvania,17520,Lancaster,,,POINT (-76.350135 40.088972),,,
1936,Walgreens Store # 9942,2646 Darlington Rd.,,,Beaver Falls,Pennsylvania,15010,Beaver,,,POINT (-80.380868 40.775376),,,
1937,Giant Eagle Pharmacy-1481,541 Allegheny Blvd.,,,Franklin,Pennsylvania,16323,Venango,,,POINT (-79.808704 41.40217),,,
1938,County of Delaware,125 Chester Avenue,,,Yeadon,Pennsylvania,19050,Delaware,13880,5/4/2021,POINT (-75.254837 39.923482),4680,9200,0
1939,Walgreens Store # 9804,180 W. Main St.,,,Uniontown,Pennsylvania,15401,Fayette,,,POINT (-79.732125 39.901122),,,
1940,Giant Pharmacy-6442,116 West Township Line Rd,,,Havertown,Pa,19083,Delaware,,,POINT (-75.296082 39.967758),,,
1941,Pharmerica-kop,489 Shoemaker Rd,106,,King of Prussia,Pennsylvania,19406,Montgomery,,,POINT (-75.353077 40.082452),,,
1942,Rite Aid Store #00754,139 South Main Street,,,Butler,Pennsylvania,16001,Butler,,,POINT (-79.895264 40.860089),,,
1943,Krhc-mountain Top Area Med Center,402 East Sycamore Road,,Po Box 398,Snow Shoe,Pennsylvania,16874,Centre,200,5/4/2021,POINT (-77.940833 41.026651),0,200,0
1944,Cvs/pharmacy00258,5703 Steubenville Pike,,,Mckees Rocks,Pennsylvania,15136,Allegheny,,,POINT (-80.134164 40.452074),,,
1945,Upmc-shadyside,5230 Centre Avenue,,,Pittsburgh,Pennsylvania,15232,Allegheny,1170,5/4/2021,POINT (-79.94113 40.45514),1170,0,0
1946,Vdi-mainline Pharmacy-cresson,1207 2nd St,,,Cresson,Pennsylvania,16630,Cambria,1000,5/4/2021,POINT (-78.591485 40.460137),0,1000,0
1947,Rite Aid Store #10961,4185 Washington Road,,,Mcmurray,Pennsylvania,15317,Washington,,,POINT (-80.13319 40.262848),,,
1948,Physiciancare P.c. Towanda,71 Hospital Drive,,,Towanda,Pennsylvania,18848,Bradford,100,5/4/2021,POINT (-76.448978 41.783592),0,100,0
1949,Rite Aid Store #04791,2023 Lycoming Creek Road,,,Williamsport,Pennsylvania,17701,Lycoming,,,POINT (-77.043608 41.259062),,,
1950,Cvs/pharmacy01237,41 West Eagle Road,,,Havertown,Pennsylvania,19083,Delaware,,,POINT (-75.312726 39.986807),,,
1951,Rite Aid Store #01147,175 Wilson Road,,,Bentleyville,Pennsylvania,15314,Washington,,,POINT (-80.001602 40.129622),,,
1952,Rite Aid Store #00293,599 York Road,,,Warminster,Pennsylvania,18974,Bucks,,,POINT (-75.099961 40.205642),,,
1953,Walgreens Store # 12597,100 E Mcmurray Rd,,,Mcmurray,Pennsylvania,15317,Washington,,,POINT (-80.126404 40.272807),,,
1954,Rite Aid Store #11021,469 West Penn Avenue,,,Cleona,Pennsylvania,17042,Lebanon,,,POINT (-76.484023 40.335888),,,
1955,Vdi-nickmans Drug 129,90 W Church Street,,,Fairchance,Pennsylvania,15436,Fayette,,,POINT (-79.755979 39.820416),,,
1956,Rite Aid Store #01495,101 East Shirley Street,,,Mt Union,Pennsylvania,17066,Huntingdon,,,POINT (-77.879633 40.382688),,,
1957,Rite Aid Store #10998,165 Butler Road,,,Kittanning,Pennsylvania,16201,Armstrong,,,POINT (-79.526273 40.805759),,,
1958,Walmart Store #1887,1015 N Loyalsock Ave,,,Montoursville,Pennsylvania,17754,Lycoming,,,POINT (-76.91589 41.26085),,,
1959,Cvs/pharmacy01575,401 Duke St.,,,Northumberland,Pennsylvania,17857,Northumberland,,,POINT (-76.801411 40.890865),,,
1960,Mainline Pharmacy-hastings,317 Beaver St.,,,Hastings,Pennsylvania,16646,Cambria,1170,5/4/2021,POINT (-78.712152 40.665551),1170,0,0
1961,Weis Pharmacy-64,601 Pleasant Valley Blvd,,,Altoona,Pa,16602,Blair,,,POINT (-78.380671 40.511567),,,
1962,Smart Choice Pharmacy,1941 Street Rd,,,Bensalem,Pennsylvania,19020,Bucks,,,POINT (-74.945723 40.096975),,,
1963,Giant Pharmacy-6267,44 Natural Springs Road,,,Gettysburg,Pa,17325,Adams,,,POINT (-77.20783 39.837958),,,
1964,Giant Eagle Pharmacy-79,510 Marwalt Lane,,,Roaring Spring,Pennsylvania,16673,Blair,,,POINT (-78.391617 40.330001),,,
1965,Walmart Store #2340,890 E Main St,,,Ephrata,Pennsylvania,17522,Lancaster,,,POINT (-76.154265 40.164218),,,
1966,Walmart Store #1640,1665 N Atherton St,,,State College,Pennsylvania,16803,Centre,,,POINT (-77.89679 40.808136),,,
1967,Weis Pharmacy-170,1199 Texas Palmyra Hwy Ste N,,,Honesdale,Pa,18431,Wayne,,,POINT (-75.226484 41.553287),,,
1968,Rite Aid Store #10934,2336 Ardmore Boulevard,,,Pittsburgh,Pennsylvania,15221,Allegheny,,,POINT (-79.848243 40.416689),,,
1969,Cvs/pharmacy 17264,120 Matthew Drive,,,Uniontown,Pennsylvania,15401,Fayette,,,POINT (-79.755943 39.908255),,,
1970,Minnichs Pharmacy,976 S. George St,,,York,Pennsylvania,17403,York,,,POINT (-76.720984 39.947453),,,
1971,Rite Aid Store #07781,20480 Route 19,,,Cranberry Twp,Pennsylvania,16066,Butler,,,POINT (-80.104444 40.698746),,,
1972,Weis Pharmacy-35,224 N. Logan Blvd,,,Burnham,Pa,17009,Mifflin,,,POINT (-77.570555 40.63251),,,
1973,Rite Aid Store #11109,1 Summit Square,A,,Langhorne,Pennsylvania,19047,Bucks,,,POINT (-74.929394 40.216562),,,
1974,Giant Eagle Pharmacy #0023,100 Buffalo Plaza,,,Sarver,Pennsylvania,16055,Butler,,,POINT (-79.725817 40.706481),,,
1975,Ahn-jefferson Regional Hospital,Pharmacy Department,,565 Coal Valley Road,Jefferson Hills,Pennsylvania,15025,Allegheny,1170,5/4/2021,,1170,0,0
1976,Rite Aid Store #02797,1401 West Cheltenham Avenue,,,Melrose Park,Pennsylvania,19027,Montgomery,,,POINT (-75.13991 40.063643),,,
1977,Cvs/pharmacy03971,Us Hwy 40,,,Richeyville,Pennsylvania,15358,Washington,,,,,,
1978,Walmart Store #2588,100 Walmart Dr,,,North Versailles,Pennsylvania,15137,Allegheny,,,POINT (-79.82282 40.386483),,,
1979,Excela Health Wcim-greensburg,4000 Hempfield Plaza Blvd,963,,Greensburg,Pennsylvania,15601,Westmoreland,,,POINT (-79.582096 40.30995),,,
1980,Giant Eagle Pharmacy-8991,600 Lindbergh Drive,Suite 300,,Coraopolis,Pennsylvania,15108,Allegheny,,,POINT (-80.213958 40.498325),,,
1981,Cvs/pharmacy17493,170 S Lycoming Mall Rd,,,Muncy,Pa,177568152,Lycoming,,,POINT (-76.832711 41.24373),,,
1982,Rite Aid Store #01376,916 State Street,,,Erie,Pennsylvania,16501,Erie,,,POINT (-80.082963 42.126011),,,
1983,Weis Pharmacy-5,2400 E. Market Street,,,York,Pa,17402,York,,,POINT (-76.67935 39.974307),,,
1984,Cvs/pharmacy00903,3298 Edgemont Avenue,,,Brookhaven,Pennsylvania,19015,Delaware,,,POINT (-75.382383 39.869301),,,
1985,Cvs Pharmacy #5100,429 Smithfield St.,,,Pittsburgh,Pennsylvania,15222,Allegheny,,,POINT (-79.999065 40.439491),,,
1986,Giant Pharmacy-6253,130 Old York Road,,,New Cumberland,Pa,17070,Cumberland,,,POINT (-76.859992 40.215176),,,
1987,Cvs/pharmacy01916,1101 N. Atherton Street,,,State College,Pennsylvania,16803,Centre,,,POINT (-77.879976 40.801386),,,
1988,Walmart Store #5379,1450 Morrell Ave,,,Connellsville,Pennsylvania,15425,Fayette,,,POINT (-79.603842 40.002669),,,
1989,Giant Eagle Pharmacy-2419,581 Pittsburgh Rd,,,Uniontown,Pennsylvania,15401,Fayette,,,POINT (-79.726695 39.923469),,,
1990,Walmart Store #1670,1135 Berkshire Blvd,,,Wyomissing,Pennsylvania,19610,Berks,,,POINT (-75.977001 40.342155),,,
1991,Weis Pharmacy-78,15260 Kutztown Rd,,,Kutztown,Pennsylvania,19530,Berks,,,POINT (-75.765862 40.528383),,,
1992,Cvs/pharmacy02524,298 East Street Road,,,Feasterville,Pennsylvania,19053,Bucks,,,POINT (-74.995371 40.146633),,,
1993,Walmart Store #5470,6716 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,,,POINT (-78.042484 40.490231),,,
1994,Cvs Pharmacy # 4037,221-223 E. Market Street,,,Harrisburg,Pennsylvania,17101,Dauphin,,,POINT (-76.880976 40.26052),,,
1995,Cvs/pharmacy01301,45 Constitution Boulevard,,,Kutztown,Pennsylvania,19530,Berks,,,POINT (-75.774507 40.517626),,,
1996,Ahold Usa-giant Pharmacy-6541,176 West Street Road,,,Feasterville Trevose,Pa,19053,Bucks,,,POINT (-75.00797 40.153902),,,
1997,Weis Pharmacy-197,65 Meadow Green Drive,,,Mifflinburg,Pa,17844,Union,,,POINT (-77.031311 40.924542),,,
1998,Sav-on Pharmacy-downingtown,3951 Lincoln Hwy,,,Downingtown,Pennsylvania,19335,Chester,,,POINT (-75.740465 39.996905),,,
1999,Cvs/pharmacy17462,912 Airport Center Dr,,,Allentown,Pa,181099385,Lehigh,,,POINT (-75.438893 40.638349),,,
2000,Walgreens Store # 11074,2235 Baltimore Pike,,,Oxford,Pennsylvania,19363,Chester,,,POINT (-75.987345 39.769746),,,
2001,Keystone Family Medicine Chambersburg,820 Fifth Avenue,,,Chambersburg,Pennsylvania,17201,Franklin,100,5/4/2021,POINT (-77.645016 39.945085),0,100,0
2002,Giant Eagle Pharmacy-91,318 Cedar Ave,,,Pittsburgh,Pennsylvania,15212,Allegheny,,,POINT (-80.00097 40.451004),,,
2003,Cvs/pharmacy01688,1630 South Atherton St,,,State College,Pennsylvania,16801,Centre,,,POINT (-77.835697 40.785229),,,
2004,Rite Aid Store #02769,100 Franklin Street,,,Mercer,Pennsylvania,16137,Mercer,,,POINT (-80.239815 41.230397),,,
2005,Passport Health,847 Easton Rd,2800,Suite 2800,Warrington,Pennsylvania,18976,Bucks,200,5/4/2021,POINT (-75.135723 40.237862),0,200,0
2006,Giant Pharmacy-6336,3926 Linden Street,,,Bethlehem,Pa,18020,Northampton,,,POINT (-75.344906 40.674166),,,
2007,Phn-new Castle Primary Care,1112 South Mill Street,,,New Castle,Pennsylvania,16101,Lawrence,100,5/4/2021,POINT (-80.343873 40.987843),0,100,0
2008,Vdi-professional Pharm of Pennsburg Inc,931 Main St,,,Pennsburg,Pennsylvania,18073,Montgomery,,,POINT (-75.489669 40.38726),,,
2009,Giant Pharmacy-6324,4001 New Falls Rd,,,Levittown,Pa,19056,Bucks,,,POINT (-74.886105 40.133238),,,
2010,Rite Aid Store #11099,2182 County Line Road,,,Huntingdon Valley,Pennsylvania,19006,Montgomery,,,POINT (-75.072085 40.171408),,,
2011,Palmer Pharmacy Llc,738 Little Deer Creek Valley Road,,,Russellton,Pennsylvania,15076,Allegheny,200,5/4/2021,POINT (-79.833802 40.617588),0,200,0
